dep,wdtk_name
Attorney General's Office,ago
Cabinet Office,cabinet_office
"Department for Business, Energy & Industrial Strategy",beis
"Department for Digital, Culture, Media & Sport",dcms
Department for Education,dfe
Department for Energy & Climate Change,decc
"Department for Environment, Food & Rural Affairs",defra
Department for Exiting the European Union,deeu
Department for International Development,dfid
Department for International Trade,dit
Department for Transport,dft
Department for Work and Pensions,dwp
Department of Health and Social Care,dhsc
Deputy Prime Minister's Office,cabinet_office
Foreign & Commonwealth Office,fco
HM Treasury,hm_treasury
Home Office,home_office
Ministry of Defence,mod
"Ministry of Housing, Communities & Local Government",mhclg
Ministry of Justice,moj
Northern Ireland Office,nio
Office of the Advocate General for Scotland,office_of_the_advocate_general_for_scotland
Office of the Secretary of State for Scotland,scotland_office
Office of the Secretary of State for Wales,wales_office_swyddfa_cymru
Prime Minister's Office,number_10
Whips' office,cabinet_office
